OBJECTID;Nomenclatura;Altura_m_s_n_m_m;Línea_Nivelación;Bloque_Ajuste;Año_Calculo;Latitud;Longitud;Alt_Elipsoidal_m_;Tipo_Coordenada;Código_Departamento;Código_Municipio;Concatenado_Depto_Municipio;Nombre_Departamento;Nombre_Municipio;Estado_Vértice;Dif_El_Geo;ErrDif
1;C70-W-2;19,488600000000002;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,881045870795000;-77,012215965549004;37,329000000000001;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
2;76109037;12,882270000000000;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,887763063000000;-77,073318607000004;29,786000000000001;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
3;76109002;10,817170000000001;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,883496220000000;-77,065329993999995;27,986000000000001;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
4;76109038;4,583310000000000;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,882939502000000;-77,054338266000002;21,795999999999999;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
5;76109024;9,195010000000000;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,882651483000000;-77,046951043999997;26,498999999999999;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
6;76109025;9,866210000000001;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,882014526000000;-77,043265563000006;27,215000000000000;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
7;76109035;7,030450000000000;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,884012779000000;-77,023474097999994;24,718000000000000;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
8;76109036;9,603949999999999;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,881583989000000;-77,032459220999996;27,172000000000001;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
9;76109004;11,627409999999999;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,885219531000000;-77,039085415000002;29,247000000000000;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
10;76109039;8,264810000000001;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,886347699000000;-77,030958951000002;25,817000000000000;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
11;76109040;20,777509999999999;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,888286644000000;-77,020573313000000;38,476999999999997;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
12;76109041;31,389160000000000;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,890176657000000;-77,009519135000005;49,250999999999998;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
13;76109007;22,107510000000001;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,888406256000000;-76,999617490000006;40,198000000000000;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
14;76109042;33,952120000000001;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,883002479000000;-76,987547329999998;52,265000000000001;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
15;76109009;46,085749999999997;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,886504563000000;-76,976270999999997;64,569000000000003;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
16;76109010;62,084760000000003;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,882147340000000;-76,962656980999995;80,873999999999995;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
17;76109011;74,988090000000000;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,883686187000000;-76,954102888999998;93,950000000000003;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
18;76109012;92,045559999999995;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,878986171000000;-76,942067840999997;111,256000000000000;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
19;76109013;103,732460000000003;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,880795785000000;-76,933813959000005;123,099999999999994;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
20;76109043;96,056709999999995;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,879385268000000;-76,923850330999997;115,659999999999997;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
21;76109044;140,122309999999999;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,879029670000000;-76,910813642999997;160,022999999999996;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
22;76109015;146,824109999999990;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,879776494000000;-76,898926803999998;167,224999999999994;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
23;76109045;184,433510000000012;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,875219191000000;-76,887053081000005;204,914999999999992;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
24;76109046;177,215429999999998;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,872960446000000;-76,879724647000003;197,875000000000000;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
25;76109047;206,762079999999997;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,867784839000000;-76,870732102000005;227,695999999999998;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
26;76109048;224,559230000000014;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,873709347000000;-76,861859339000006;245,649000000000001;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
27;76109049;189,018779999999992;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,869427163000000;-76,855875894999997;210,292000000000002;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
28;76109050;118,079459999999997;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,861222406000000;-76,855893690000002;139,467000000000013;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
29;76109051;148,772510000000011;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,859513509000000;-76,848148801999997;170,375000000000000;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
30;76109052;142,424929999999989;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,863902178000000;-76,835507809999996;163,941000000000003;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
31;76109053;153,800029999999992;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,866251195000000;-76,827064480999994;175,842999999999989;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
32;76109054;174,562430000000006;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,864798164000000;-76,815412971000001;196,919999999999987;CALCULADA;76;109;76109;VALLE DEL CAUCA;BUENAVENTURA;Materializado;;
33;76109055;182,629430000000013;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,860367638000000;-76,804842042000004;205,286000000000001;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
34;76233020;193,516030000000001;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,850735701000000;-76,798416978000006;216,494000000000000;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
35;76233022;225,939069999999987;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,840883676000000;-76,793575128000001;249,125000000000000;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
36;76233023;233,847170000000006;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,832869128000000;-76,789346531999996;257,343000000000018;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
37;76233024;257,808670000000006;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,824773303000000;-76,784607571999999;281,468000000000018;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
38;76109022;274,948519999999974;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,816519794000000;-76,781107261000002;298,762000000000000;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
39;76233025;273,595120000000009;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,808394556000000;-76,777286708999995;297,750999999999976;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
40;76233026;287,105779999999982;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,799291290000000;-76,774837818999998;311,466999999999985;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
41;76233021;297,374079999999992;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,789793519000000;-76,770077724000004;321,795000000000016;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
42;76109023;314,005429999999990;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,783518100000000;-76,760361313999994;338,617000000000019;CALCULADA;76;233;76233;VALLE DEL CAUCA;DAGUA;Materializado;;
43;76233001;356,147940000000006;Línea No 2 Buenaventura - Bogotá;Circuito 1 y 2 ;2021;3,777059000000000;-76,752033999999995;;APROXIMADA;76;233;76233;VALLE DEL CAUCA;DAGUA;#N/A;;
